https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UST,Volume USD
1651665600000,2022-05-04 12:00:00,UST/USD,1.0,1.001,0.999,0.999,763.731069,762.9673379310001
1651662000000,2022-05-04 11:00:00,UST/USD,1.0,1.0,0.999,1.0,3875.280483,3875.280483
1651658400000,2022-05-04 10:00:00,UST/USD,0.999,1.0,0.999,1.0,1184.729425,1184.729425
1651654800000,2022-05-04 09:00:00,UST/USD,1.0,1.0,0.999,0.999,2.178098,2.175919902
1651651200000,2022-05-04 08:00:00,UST/USD,1.0,1.0,1.0,1.0,248.303843,248.303843
1651647600000,2022-05-04 07:00:00,UST/USD,0.999,1.0,0.999,1.0,6.50393,6.50393
1651644000000,2022-05-04 06:00:00,UST/USD,1.001,1.001,0.999,0.999,9194.699625,9185.504925374998
1651640400000,2022-05-04 05:00:00,UST/USD,1.0,1.001,1.0,1.001,16927.650466,16944.578116465997
1651636800000,2022-05-04 04:00:00,UST/USD,1.0,1.0,1.0,1.0,2571.730629,2571.730629
1651633200000,2022-05-04 03:00:00,UST/USD,1.0,1.0,0.999,1.0,6739.089269,6739.089269
1651629600000,2022-05-04 02:00:00,UST/USD,0.999,1.0,0.999,1.0,21614.483311,21614.483311
1651626000000,2022-05-04 01:00:00,UST/USD,1.001,1.001,0.999,0.999,1898.117394,1896.219276606
1651622400000,2022-05-04 00:00:00,UST/USD,0.999,1.001,0.999,1.001,32779.899215,32812.679114214996
1651618800000,2022-05-03 23:00:00,UST/USD,1.0,1.001,0.999,0.999,5501.726445,5496.224718555
1651615200000,2022-05-03 22:00:00,UST/USD,1.0,1.001,1.0,1.0,1390.210932,1390.210932
1651611600000,2022-05-03 21:00:00,UST/USD,0.999,1.001,0.999,1.0,14248.076111,14248.076111
1651608000000,2022-05-03 20:00:00,UST/USD,1.0,1.001,0.999,0.999,1163.573182,1162.4096088180002
1651604400000,2022-05-03 19:00:00,UST/USD,1.0,1.001,1.0,1.0,160986.160386,160986.160386
1651600800000,2022-05-03 18:00:00,UST/USD,1.001,1.001,1.0,1.0,229236.687935,229236.687935
1651597200000,2022-05-03 17:00:00,UST/USD,1.0,1.001,0.999,1.001,90947.401117,91038.348518117
1651593600000,2022-05-03 16:00:00,UST/USD,1.001,1.001,1.0,1.0,6238.005947,6238.005947
1651590000000,2022-05-03 15:00:00,UST/USD,0.999,1.001,0.999,1.001,27015.447234,27042.462681233996
1651586400000,2022-05-03 14:00:00,UST/USD,0.999,1.001,0.999,0.999,389580.919688,389191.338768312
1651582800000,2022-05-03 13:00:00,UST/USD,0.999,1.001,0.999,0.999,119446.625458,119327.17883254199
1651579200000,2022-05-03 12:00:00,UST/USD,1.001,1.001,0.999,0.999,2364.338928,2361.974589072
1651575600000,2022-05-03 11:00:00,UST/USD,0.999,1.001,0.999,1.001,1234.562511,1235.797073511
1651572000000,2022-05-03 10:00:00,UST/USD,0.999,1.001,0.999,0.999,1477.20101,1475.72380899
1651568400000,2022-05-03 09:00:00,UST/USD,1.001,1.001,0.999,0.999,709.349606,708.640256394
1651564800000,2022-05-03 08:00:00,UST/USD,1.001,1.001,1.001,1.001,866.762896,867.6296588959999
1651561200000,2022-05-03 07:00:00,UST/USD,0.999,1.001,0.999,1.001,20468.11615,20488.58426615
