https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LUNA,Volume USD
1651651200000,2022-05-04 08:00:00,LUNA/USD,84.85,86.79,84.85,86.53,2988.593747,258603.01692791
1651647600000,2022-05-04 07:00:00,LUNA/USD,84.51,85.13,84.26,84.85,417.635843,35436.40127855
1651644000000,2022-05-04 06:00:00,LUNA/USD,83.64,84.62,83.6,84.51,288.569033,24386.968978830002
1651640400000,2022-05-04 05:00:00,LUNA/USD,83.23,83.65,83.07,83.64,1050.0648,87827.41987200001
1651636800000,2022-05-04 04:00:00,LUNA/USD,83.31,83.68,83.02,83.23,133.189405,11085.35417815
1651633200000,2022-05-04 03:00:00,LUNA/USD,82.8,83.54,82.67,83.31,405.759661,33803.83735791
1651629600000,2022-05-04 02:00:00,LUNA/USD,82.33,83.13,82.33,82.8,294.817842,24410.917317599997
1651626000000,2022-05-04 01:00:00,LUNA/USD,82.43,82.63,82.25,82.33,305.056171,25115.27455843
1651622400000,2022-05-04 00:00:00,LUNA/USD,82.52,82.73,82.06,82.43,1707.09532,140715.8672276
1651618800000,2022-05-03 23:00:00,LUNA/USD,82.68,82.86,82.33,82.52,605.494997,49965.44715244
1651615200000,2022-05-03 22:00:00,LUNA/USD,82.21,82.95,82.11,82.68,2139.016286,176853.86652648
1651611600000,2022-05-03 21:00:00,LUNA/USD,81.9,82.46,81.47,82.21,566.446218,46567.54358178
1651608000000,2022-05-03 20:00:00,LUNA/USD,82.25,82.25,81.19,81.9,530.8562,43477.12278
1651604400000,2022-05-03 19:00:00,LUNA/USD,82.64,82.73,81.79,82.25,1014.584236,83449.553411
1651600800000,2022-05-03 18:00:00,LUNA/USD,83.6,83.6,82.48,82.64,1112.774161,91959.65666504
1651597200000,2022-05-03 17:00:00,LUNA/USD,83.22,83.88,83.1,83.6,261.047909,21823.6051924
1651593600000,2022-05-03 16:00:00,LUNA/USD,83.79,84.06,83.13,83.22,3990.703478,332106.34343916
1651590000000,2022-05-03 15:00:00,LUNA/USD,83.41,84.02,83.13,83.79,1383.270781,115904.25873999001
1651586400000,2022-05-03 14:00:00,LUNA/USD,83.6,84.07,83.17,83.41,1395.818334,116425.20723894
1651582800000,2022-05-03 13:00:00,LUNA/USD,84.41,84.51,83.19,83.6,1842.493756,154032.4780016
1651579200000,2022-05-03 12:00:00,LUNA/USD,85.15,85.22,84.41,84.41,576.652655,48675.25060855
1651575600000,2022-05-03 11:00:00,LUNA/USD,84.13,85.16,83.92,85.15,1326.883386,112984.1203179
1651572000000,2022-05-03 10:00:00,LUNA/USD,84.0,84.44,83.96,84.13,2331.217913,196125.36302068998
1651568400000,2022-05-03 09:00:00,LUNA/USD,84.92,85.22,84.0,84.0,1709.146419,143568.299196
1651564800000,2022-05-03 08:00:00,LUNA/USD,85.1,85.51,84.9,84.92,118.666532,10077.16189744
1651561200000,2022-05-03 07:00:00,LUNA/USD,84.84,85.25,84.44,85.1,279.058448,23747.8739248
1651557600000,2022-05-03 06:00:00,LUNA/USD,84.56,85.04,84.29,84.84,360.420861,30578.10584724
1651554000000,2022-05-03 05:00:00,LUNA/USD,84.69,84.69,83.84,84.56,1168.759519,98830.30492664
1651550400000,2022-05-03 04:00:00,LUNA/USD,84.84,85.05,84.35,84.69,2587.800312,219160.80842328
1651546800000,2022-05-03 03:00:00,LUNA/USD,84.87,85.33,84.68,84.84,568.939853,48268.85712852
1651543200000,2022-05-03 02:00:00,LUNA/USD,85.02,85.31,84.21,84.87,652.975887,55418.06352969
1651539600000,2022-05-03 01:00:00,LUNA/USD,84.0,85.79,83.77,85.02,1219.442858,103677.03178715998
1651536000000,2022-05-03 00:00:00,LUNA/USD,84.26,84.55,84.0,84.0,1349.716242,113376.164328
1651532400000,2022-05-02 23:00:00,LUNA/USD,84.26,84.84,84.2,84.26,1804.101872,152013.62373472
1651528800000,2022-05-02 22:00:00,LUNA/USD,84.27,84.77,84.14,84.26,463.208215,39029.9241959
